0,Dummy 0,0.000,"(0.000, 0.000)"
1,Dummy 1,1.000,"(1.000, 1.000)"
2,"Ratio of TB infectivity, experienced to naive ",1.224,"(1.013, 1.457)"
3,"Ratio of TB infectivity, children to naive ",0.175,"(0.062, 0.288)"
4,"Infectivity of TB, Naive Adults",1.819,"(1.592, 2.486)"
5,"Infectivity of TB, Experienced Adults",1.819,"(1.592, 2.486)"
6,"Infectivity of TB, Children",0.322,"(0.130, 0.551)"
7,"Ratio of HIV infectivity, HIV+IC to HIV+ nIC",2.200,"(2.200, 2.200)"
8,"Ratio of HIV infectivity, ART to HIV+ nIC",0.100,"(0.100, 0.100)"
9,Infectivity of HIV+ nIC,0.106,"(0.094, 0.129)"
10,Infectivity of HIV+ IC,0.234,"(0.207, 0.284)"
11,Infectivity of HIV+ ART,0.011,"(0.009, 0.013)"
12,Prob: If Tc+ after Tc | HIV -,0.000,"(0.000, 0.000)"
13,Prob: If Tc+ after Tc | HIV+nIC,0.000,"(0.000, 0.000)"
14,Prob: If Tc+ after Tc | HIV+IC,0.000,"(0.000, 0.000)"
15,Prob: If Tc+ after Tc | HIV+ART,0.000,"(0.000, 0.000)"
16,Rate of follow-up | Tc+ >1 | HIV-,0.000,"(0.000, 0.000)"
17,Rate of follow-up | Tc+ >1 | HIV+nIC,0.000,"(0.000, 0.000)"
18,Rate of follow-up | Tc+ >1 | HIV+IC,0.000,"(0.000, 0.000)"
19,Rate of follow-up | Tc+ >1 | HIV+ART,0.000,"(0.000, 0.000)"
20,Prob: If MDR-TB after Diagnostic Test | I | Tc+ <1| HIV -,0.000,"(0.000, 0.000)"
21,Prob: If MDR-TB after Diagnostic Test | I | Tc+ <1| HIV+nIC,0.000,"(0.000, 0.000)"
22,Prob: If MDR-TB after Diagnostic Test | I | Tc+ <1| HIV+IC,0.000,"(0.000, 0.000)"
23,Prob: If MDR-TB after Diagnostic Test | I | Tc+ <1| HIV+ART,0.000,"(0.000, 0.000)"
24,Cost of clinic visit for initial diagnosis (excluding tests),13.890,"(13.890, 13.890)"
25,Cost of follow-up clinic visit (excluding tests),6.240,"(6.240, 6.240)"
26,Cost of Xpert,13.840,"(13.840, 13.840)"
